time,current,omega,omega_meas,theta,tau_load,V_in
0.0805,11.3265373970559,67.8791807612118,67.4552176393928,2.06030357258287,0,12
0.081,11.3212108574357,68.4113018025453,67.8512376519234,2.09424316296348,0,12
0.0815,11.3158896443573,68.9428907226154,70.2058905686745,2.12844881386475,0,12
0.082,11.3105737524942,69.4739480535435,70.3016968499872,2.16292025922606,0,12
0.0825,11.3052631765252,70.0044743269191,70.1582419065382,2.19765723325283,0,12
0.083,11.2999579111344,70.5344700737998,69.9059108941238,2.23265947041629,0,12
0.0835,11.2946579510111,71.0639358247125,70.6312018094351,2.26792670545319,0,12
0.084,11.2893632908503,71.5928721096532,71.5046050525375,2.30345867336555,0,12
0.0845,11.2840739253518,72.1212794580883,72.5169874889026,2.33925510942037,0,12
0.085,11.278789849221,72.6491583989543,71.9831561882967,2.37531574914942,0,12
0.0855,11.2735110571685,73.1765094606592,72.0115758827567,2.41164032834889,0,12
0.086,11.2682375439103,73.7033331710823,72.9787845246629,2.44822858307922,0,12
0.0865,11.2629693041675,74.2296300575751,74.396385474108,2.48508024966477,0,12
0.087,11.2577063326667,74.7554006469617,74.9510774491781,2.52219506469355,0,12
0.0875,11.2524486241396,75.2806454655395,75.5064851750036,2.55957276501703,0,12
0.088,11.2471961733232,75.8053650390794,75.7402227125066,2.5972130877498,0,12
0.0885,11.2419489749599,76.3295598928269,76.4214044407579,2.63511577026934,0,12
0.089,11.236707023797,76.8532305515018,76.6151540431922,2.67328055021576,0,12
0.0895,11.2314703145876,77.3763775392994,77.8073883450779,2.71170716549151,0,12
0.09,11.2262388420895,77.8990013798909,77.2181541444556,2.75039535426116,0,12
0.0905,11.2210126010661,78.4211025964237,78.6486173746459,2.7893448549511,0,12
0.091,11.2157915862859,78.9426817115221,78.5183270215553,2.82855540624931,0,12
0.0915,11.2105757925227,79.4637392472876,79.2962957778056,2.86802674710508,0,12
0.092,11.2053652145554,79.9842757252999,80.2606673982722,2.90775861672872,0,12
0.0925,11.2001598471682,80.504291666617,81.0238369933694,2.94775075459137,0,12
0.093,11.1949596851506,81.0237875917756,80.464968250143,2.98800290042468,0,12
0.0935,11.1897647232972,81.5427640207923,82.1730933753528,3.02851479422057,0,12
0.094,11.1845749564078,82.0612214731634,82.3912930436869,3.06928617623096,0,12
0.0945,11.1793903792875,82.5791604678657,82.5452276910944,3.11031678696754,0,12
0.095,11.1742109867465,83.0965815233571,82.9989709244078,3.15160636720148,0,12
0.0955,11.1690367736001,83.6134851575771,83.5046819825055,3.19315465796315,0,12
0.096,11.1638677346691,84.1298718879471,83.9783180772713,3.23496140054194,0,12
0.0965,11.1587038647791,84.6457422313712,84.6572650435838,3.27702633648592,0,12
0.097,11.1535451587612,85.1610967042366,85.186741882161,3.3193492076016,0,12
0.0975,11.1483916114515,85.675935822414,86.0889672175198,3.36192975595372,0,12
0.098,11.1432432176912,86.1902601012584,86.9537484446251,3.40476772386493,0,12
0.0985,11.1380999723269,86.7040700556092,86.9375272734516,3.44786285391556,0,12
0.099,11.13296187021,87.2173661997913,87.1125095305969,3.49121488894336,0,12
0.0995,11.1278289061974,87.7301490476149,88.0427442261587,3.53482357204326,0,12
0.1,11.122701075151,88.2424191123767,88.3340327438774,3.57868864656707,0,12
0.1005,11.1175783719378,88.7541769068599,88.2392931350766,3.62280985612325,0,12
0.101,11.1124607914299,89.265422943335,89.7400338589005,3.66718694457668,0,12
0.1015,11.1073483285046,89.7761577335603,89.9296886931336,3.71181965604835,0,12
0.102,11.1022409780444,90.2863817887821,90.3539692598319,3.75670773491513,0,12
0.1025,11.0971387349368,90.7960956197358,91.0537187874983,3.80185092580952,0,12
0.103,11.0920415940745,91.3052997366458,91.4360028986735,3.84724897361939,0,12
0.1035,11.0869495503551,91.8139946492264,91.3432517637487,3.89290162348771,0,12
0.104,11.0818625986816,92.322180866682,92.2410120302801,3.93880862081233,0,12
0.1045,11.0767807339618,92.8298588977081,92.7568315805424,3.98496971124567,0,12
0.105,11.0717039511089,93.3370292504913,93.0710235620869,4.03138464069452,0,12
0.1055,11.066632245041,93.84369243271,94.6847442300416,4.07805315531977,0,12
0.106,11.0615656106813,94.3498489515351,93.9119842784551,4.12497500153612,0,12
