time,omega,omega_meas,tau_load
0.112,101.760331627942,102.437628791944,0
0.113,100.545339383008,100.009261738816,0
0.114,106.154505293675,106.634982228545,0
0.115,104.937548859565,104.999573759567,0
0.116,100.931104228934,101.649452540294,0
0.117,100.571960620279,99.5915106205968,0
0.118,105.327738955627,105.22888984264,0
0.119,104.964916999463,104.360994256833,0
0.12,100.106790821761,101.560794837126,0
0.121,100.259859613838,100.672469060952,0
0.122,104.506210589682,105.19569657864,0
0.123,104.654573824406,104.125483695413,0
0.124,101.581867685735,101.347559895184,0
0.125,101.354295399139,101.218060694514,0
0.126,105.975767787278,106.524980096223,0
0.127,105.744256745154,105.60532077876,0
0.128,100.752096227171,101.102866956253,0
0.129,100.526271878691,99.5003637287357,0
0.13,105.149313666611,104.972388667724,0
0.131,104.919543749389,104.50775048681,0
0.132,99.928946181862,99.1404176704624,0
0.133,100.073052894742,100.327040220195,0
0.134,104.329086290422,104.470078322257,0
0.135,104.468504649767,104.48524459089,0
0.136,101.940223359558,101.273384387844,0
0.137,101.751636405524,102.315382544694,0
0.138,106.332651053074,106.507740758376,0
0.139,106.140048845254,105.990515830087,0
0.14,101.10751305107,101.118957947445,0
0.141,100.920521185667,100.789523468184,0
0.142,105.503269990731,104.628163806507,0
0.143,105.312256352119,105.169430866322,0
0.144,100.281447924406,99.8657646686226,0
0.145,100.096038135139,99.6064349825549,0
0.146,104.680507542498,104.102306714666,0
0.147,104.491069513191,104.224290958533,0
0.148,100.115271736517,99.1139538685755,0
0.149,101.310448014146,101.792562725462,0
0.15,104.513615473293,104.773645524021,0
0.151,105.70200305463,105.691989128809,0
0.152,100.815955903452,100.798570360438,0
0.153,100.484081089563,100.084999297281,0
0.154,105.213023954652,105.722366595716,0
0.155,104.87741582234,104.810807082586,0
0.156,99.9925074669657,99.6352423850721,0
0.157,99.6627910674058,100.338483951619,0
0.158,104.392867153497,104.280481625471,0
0.159,104.05940982705,103.76489531169,0
0.16,100.936856703003,100.789979904136,0
0.161,102.740568176879,102.31660505506,0
0.162,105.331305564717,104.771241414095,0
0.163,107.127015166784,108.390015012843,0
0.164,100.108184632856,100.9359334293,0
0.165,101.905525936651,102.05929351627,0
0.166,104.505954553021,103.877395373345,0
0.167,106.295303404288,105.86256938901,0
0.168,100.427748490495,100.339481433379,0
0.169,101.075989745584,101.471697776399,0
0.17,104.825389255278,104.15938704462,0
0.171,105.467936387092,104.30300280919,0
0.172,99.6054451511246,98.8808965047052,0
0.173,100.25192713278,100.418682549313,0
0.174,104.006376888538,104.202053690755,0
0.175,104.647164974493,104.873004683957,0
0.176,102.094242741358,102.029100414785,0
0.177,99.7966154727511,99.888460020682,0
0.178,106.488163397661,106.250086889352,0
0.179,104.190737462935,104.621748268714,0
0.18,101.264508170006,100.58366093457,0
0.181,101.792648347409,102.020163125631,0
0.182,105.658921997148,105.234567307181,0
0.183,106.18161148037,106.014168010888,0
0.184,100.435763619676,100.712155292649,0
0.185,100.962630882309,101.482176209061,0
0.186,104.833493697935,104.274674356302,0
0.187,105.354909495964,105.985238850525,0
0.188,99.6136383073452,99.9437098778687,0
0.189,100.139231129169,100.105298352398,0
0.19,104.014658161294,103.917047562345,0
0.191,104.53479877762,104.425995602549,0
0.192,101.5744180517,101.422864241024,0
0.193,99.7854361990759,99.7969590112884,0
0.194,105.969909361346,105.99555453927,0
0.195,104.180109981117,104.593141376223,0
0.196,100.747819523281,101.511307866647,0
0.197,101.321977313728,101.555434531571,0
0.198,105.144254087397,105.039397418203,0
0.199,105.7128671277,106.025462306243,0
0.2,99.9231084580071,100.014722089508,0
0.201,100.495805417859,99.9809216460752,0
0.202,104.322843327215,104.797454242781,0
0.203,104.889995158278,105.043526117851,0
0.204,100.008103072153,100.075690543203,0
0.205,99.6753170697308,99.9329402374932,0
0.206,104.408403445867,104.539106607894,0
0.207,104.071882715076,103.601139829598,0
0.208,99.4860009954957,99.4048321590938,0
0.209,101.303921246114,101.230893928948,0
0.21,103.886239071263,103.620233382859,0
0.211,105.696123243304,106.537175040636,0
0.212,101.702197161325,101.264332488245,0
0.213,100.477332676413,100.235425151358,0
0.214,106.096613237165,105.740610962651,0
0.215,104.869804065147,104.282697899418,0
0.216,100.873453593388,100.777333834618,0
0.217,99.6543211993577,99.5172860843914,0
0.218,105.271178911408,106.036215168621,0
0.219,104.050087056848,103.925574685591,0
0.22,100.051315287617,99.5192085811727,0
0.221,101.145388339511,101.947116988571,0
0.222,104.450015953415,105.06735552686,0
0.223,105.537502158539,105.422688933057,0
0.224,99.2311284033963,98.4780485514064,0
0.225,100.32165852366,100.099344615437,0
0.226,103.633113359662,103.5551428418,0
0.227,104.717060434729,104.855094561695,0
0.228,102.212912414884,102.082330591996,0
0.229,99.5006963410103,99.7224072974624,0
0.23,106.606772981299,106.802720086015,0
0.231,103.895587479006,103.270248025593,0
0.232,101.383057074876,100.90907661371,0
0.233,101.598496255832,101.227943208862,0
0.234,105.777309407395,105.523400632256,0
0.235,105.987923457657,105.827635704357,0
0.236,100.553989555715,100.560224076396,0
0.237,100.769405697729,99.2548170270265,0
0.238,104.951558181351,104.723050860915,0
0.239,105.162145922454,105.783370125649,0
0.24,99.7315413608841,99.1981906613917,0
0.241,99.9469279433258,100.413792024661,0
0.242,104.132399808858,104.307560309536,0
0.243,104.342954759687,104.328451877833,0
0.244,99.657963318306,99.749189402059,0
0.245,99.1738589854531,98.3913309783777,0
0.246,104.059815569366,104.017545829457,0
0.247,103.572277592927,104.374250768229,0
0.248,99.8068943079951,99.8560681953151,0
0.249,102.263900891068,102.284587697813,0
0.25,104.20520972418,103.838125167832,0
0.251,106.652903978671,106.637497113665,0
0.252,99.4177828298057,99.5339563361179,0
0.253,101.433527483905,101.646721262609,0
0.254,103.818095953832,103.631691582971,0
0.255,105.825408805499,105.707181513621,0
0.256,100.810677681537,101.822523124838,0
0.257,100.607121901401,99.4779449161533,0
0.258,105.207638526591,106.322361366819,0
0.259,105.000092897171,105.168874747477,0
0.26,99.9870155181139,100.487045927908,0
0.261,99.785105602961,98.9530233654674,0
0.262,104.387269365957,104.092252083854,0
0.263,104.181363016786,104.042330934903,0
0.264,99.1699261948419,99.3812840404522,0
0.265,99.3643056598931,98.5292053109679,0
0.266,103.573052110598,103.808869273806,0
0.267,103.762639690803,103.156216090966,0
0.268,101.332243384229,101.365338408442,0
0.269,100.940044187116,101.266222131447,0
0.27,105.72730660989,105.890836593478,0
0.271,105.331496747945,105.872813500063,0
0.272,100.504793193312,101.007831748721,0
0.273,100.114997464507,99.7895435962086,0
0.274,104.903163816268,105.031691894984,0
0.275,104.509749308298,104.037560405096,0
0.276,99.6839445755104,99.0230503148141,0
0.277,99.2965361157973,99.7589490825441,0
0.278,104.085596205668,104.085621130206,0
0.279,103.694560911244,103.66710145394,0
0.28,98.9206409735314,99.3762046063583,0
0.281,100.971793106365,101.269084955069,0
0.282,103.322907257504,103.498007844442,0
0.283,105.365554819788,105.990680433941,0
0.284,102.146709410509,102.611604139787,0
0.285,100.147311445918,100.267193074448,0
0.286,106.540121970831,106.194941419276,0
0.287,104.54032938961,104.214552568735,0
0.288,101.315961275529,101.912012210795,0
0.289,99.3253924401655,98.5194772458266,0
0.29,105.712687999262,105.700457030944,0
